time,depth,temp
2013-10-09,0.1,19.43573274389926
2013-10-10,0.1,18.521541179129617
2013-10-11,0.1,17.59974381817656
2013-10-12,0.1,17.591238910172034
2013-10-13,0.1,17.892773251170635
2013-10-14,0.1,18.385893094051653
2013-10-15,0.1,18.336687905752306
2013-10-16,0.1,18.42551434844036
2013-10-17,0.1,18.627873252438924
2013-10-18,0.1,18.412943814952754
2013-10-19,0.1,18.18804044960521
2013-10-20,0.1,17.421930646158632
2013-10-21,0.1,16.88898804878143
2013-10-22,0.1,16.58258139655063
2013-10-23,0.1,15.750615657577399
2013-10-24,0.1,14.511389755341149
2013-10-25,0.1,13.277856423583303
2013-10-26,0.1,12.563242046379386
2013-10-27,0.1,12.264044363442762
2013-10-28,0.1,12.678762299343056
2013-10-29,0.1,13.253814757459399
2013-10-30,0.1,14.162780726995445
